County Code,County Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Polling Station Name
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,BOMU PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,MWIJABU PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,LILONGWE GARDEN
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,BOMU STADIUM
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,BOMU SECONDARY SCHOOL
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,FULL GOSPEL CHURCH GROUND
1,MOMBASA,1,CHANGAMWE,2,KIPEVU,UMOJA PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,2,KIPEVU,KISUMU NDOGO GROUND
1,MOMBASA,1,CHANGAMWE,2,KIPEVU,KWA HOLA PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,2,KIPEVU,CAPE TOWN GROUND
1,MOMBASA,1,CHANGAMWE,2,KIPEVU,KALOLENI GROUND
1,MOMBASA,1,CHANGAMWE,2,KIPEVU,AKAMBA HANDCRAFT COOP. SOCIETY HALL
1,MOMBASA,1,CHANGAMWE,3,AIRPORT,BOKOLE NURSERY SCHOOL
1,MOMBASA,1,CHANGAMWE,3,AIRPORT,BARAKA VILLAGE
1,MOMBASA,1,CHANGAMWE,3,AIRPORT,AL-IRSHADI NURSERY SCHOOL
1,MOMBASA,1,CHANGAMWE,3,AIRPORT,MWIDANI SOCIAL HALL
1,MOMBASA,1,CHANGAMWE,3,AIRPORT,PORTREITZ NURSERY SCHOOL
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,CHANGAMWE SOCIAL HALL
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,CHANGAMWE PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,ST. LWANGA PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,CHANGAMWE SECONDARY SCHOOL
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,GOME PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,MAGONGO PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,BAPTIST CHURCH PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,BISHOP MKALA ACADEMY
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,KIMBILIO ACADEMY
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,AIC CHURCH HALL
1,MOMBASA,1,CHANGAMWE,5,CHAANI,CHAANI SOCIAL HALL
1,MOMBASA,1,CHANGAMWE,5,CHAANI,KIPEVU PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,5,CHAANI,MIKADINI PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,5,CHAANI,CHAANI PRIMARY SCHOOL
1,MOMBASA,1,CHANGAMWE,5,CHAANI,CHAANI SECONDARY SCHOOL
1,MOMBASA,1,CHANGAMWE,5,CHAANI,CHAANI CHIEF'S OFFICE
1,MOMBASA,1,CHANGAMWE,5,CHAANI,KASARANI GROUNDS
1,MOMBASA,2,JOMVU,6,JOMVU KUU,MIRITINI WORLD BANK PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,6,JOMVU KUU,JOMVU KUU PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,6,JOMVU KUU,TARATIBU SOCIAL HALL
1,MOMBASA,2,JOMVU,6,JOMVU KUU,MIRIRONI PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,6,JOMVU KUU,JOMVU NARCOL NURSERY SCHOOL
1,MOMBASA,2,JOMVU,6,JOMVU KUU,SWALEH KHALID SOCIAL HALL
1,MOMBASA,2,JOMVU,6,JOMVU KUU,BADI TWALIB PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,6,JOMVU KUU,ALDINNAH OPEN GROUNDS
1,MOMBASA,2,JOMVU,6,JOMVU KUU,MISUFINI OPEN GROUNDS
1,MOMBASA,2,JOMVU,7,MIRITINI,ABU-UBAIDA PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,7,MIRITINI,MIRITINI PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,7,MIRITINI,BAMAKO INNITIATIVE MIRITINI
1,MOMBASA,2,JOMVU,7,MIRITINI,RAILWAY STATION HALL
1,MOMBASA,2,JOMVU,7,MIRITINI,MWAMLAI PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,7,MIRITINI,CHABEAT OPEN GROUND - CHAMUNYU
1,MOMBASA,2,JOMVU,7,MIRITINI,MAGANDA PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,8,MIKINDANI,MINISTRY OF WATER TANKS
1,MOMBASA,2,JOMVU,8,MIKINDANI,OWINO UHURU NURSERY SCHOOL
1,MOMBASA,2,JOMVU,8,MIKINDANI,KWA SHEE PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,8,MIKINDANI,AMANI PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,8,MIKINDANI,ST. MARY'S BANGLADESH PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,8,MIKINDANI,MIKINDANI PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,8,MIKINDANI,NEW KIBARANI PRIMARY SCHOOL
1,MOMBASA,2,JOMVU,8,MIKINDANI,KAJEMBE HIGH SCHOOL
1,MOMBASA,2,JOMVU,8,MIKINDANI,NAZARENE NURSERY SCHOOL
1,MOMBASA,2,JOMVU,8,MIKINDANI,MWEMBENI OPEN GROUNDS
1,MOMBASA,3,KISAUNI,9,MJAMBERE,KISAUNI BAPTIST PRIMARY SCHOOL
1,MOMBASA,3,KISAUNI,9,MJAMBERE,KISAUNI WATER & SEWERAGE OFFICES
1,MOMBASA,3,KISAUNI,9,MJAMBERE,KADONGO GROUNDS - MISHOMORONI
1,MOMBASA,3,KISAUNI,9,MJAMBERE,PALANI GROUNDS
1,MOMBASA,3,KISAUNI,10,JUNDA,MANYANI GROUNDS
1,MOMBASA,3,KISAUNI,10,JUNDA,IFC CHURCH
1,MOMBASA,3,KISAUNI,10,JUNDA,EMMAS ACADEMY
1,MOMBASA,3,KISAUNI,10,JUNDA,NEW HOPE SECONDARY SCHOOL - MAKUMBA
1,MOMBASA,3,KISAUNI,10,JUNDA,ASSISTANT CHIEF'S CAMP - MACHAFUKO
1,MOMBASA,3,KISAUNI,10,JUNDA,JUNDA ASSISTANT CHIEF'S CAMP-WANGWANI
1,MOMBASA,3,KISAUNI,11,BAMBURI,KASHANI PRIMARY SCHOOL
1,MOMBASA,3,KISAUNI,11,BAMBURI,MAJAONI PRIMARY SCHOOL
1,MOMBASA,3,KISAUNI,11,BAMBURI,KIEMBENI PRIMARY SCHOOL
1,MOMBASA,3,KISAUNI,11,BAMBURI,ST. ELIZABETH ACADEMY
1,MOMBASA,3,KISAUNI,11,BAMBURI,MDENGEREKENI PRIMARY SCHOOL
